Team,Week,Term,Rank,dma_name,dma_id,score,refresh_date
Boston Celtics,2024-01-14 00:00:00,Celtics,12.0,24,2024-05-11,Orlando-Daytona Beach-Melbourne FL,534
Boston Celtics,2024-01-21 00:00:00,Celtics,10.0,24,2024-05-11,Orlando-Daytona Beach-Melbourne FL,534
Boston Celtics,2024-02-11 00:00:00,Celtics,11.0,24,2024-05-11,Orlando-Daytona Beach-Melbourne FL,534
Boston Celtics,2024-02-25 00:00:00,Celtics,13.0,24,2024-05-11,Orlando-Daytona Beach-Melbourne FL,534
Boston Celtics,2024-03-10 00:00:00,Celtics,13.0,24,2024-05-11,Orlando-Daytona Beach-Melbourne FL,534
Boston Celtics,2024-04-07 00:00:00,Celtics,13.0,24,2024-05-11,Orlando-Daytona Beach-Melbourne FL,534
Boston Celtics,2024-04-21 00:00:00,Celtics,28.0,24,2024-05-11,Orlando-Daytona Beach-Melbourne FL,534
Boston Celtics,2024-01-14 00:00:00,Celtics,nan,24,2024-05-11,Columbia-Jefferson City MO,604
Boston Celtics,2024-01-21 00:00:00,Celtics,nan,24,2024-05-11,Columbia-Jefferson City MO,604
Boston Celtics,2024-02-11 00:00:00,Celtics,nan,24,2024-05-11,Columbia-Jefferson City MO,604
Boston Celtics,2024-02-25 00:00:00,Celtics,nan,24,2024-05-11,Columbia-Jefferson City MO,604
Boston Celtics,2024-03-10 00:00:00,Celtics,nan,24,2024-05-11,Columbia-Jefferson City MO,604
Boston Celtics,2024-03-17 00:00:00,Celtics,nan,24,2024-05-11,Columbia-Jefferson City MO,604
Boston Celtics,2024-03-24 00:00:00,Celtics,nan,24,2024-05-11,Columbia-Jefferson City MO,604
Boston Celtics,2024-03-31 00:00:00,Celtics,nan,24,2024-05-11,Columbia-Jefferson City MO,604
Boston Celtics,2024-04-14 00:00:00,Celtics,nan,24,2024-05-11,Columbia-Jefferson City MO,604
Boston Celtics,2024-02-18 00:00:00,Celtics,5.0,24,2024-05-11,Cleveland-Akron (Canton) OH,510
Boston Celtics,2024-02-25 00:00:00,Celtics,10.0,24,2024-05-11,Cleveland-Akron (Canton) OH,510
Boston Celtics,2024-03-31 00:00:00,Celtics,7.0,24,2024-05-11,Cleveland-Akron (Canton) OH,510
Boston Celtics,2024-04-14 00:00:00,Celtics,4.0,24,2024-05-11,Cleveland-Akron (Canton) OH,510
Boston Celtics,2024-04-21 00:00:00,Celtics,25.0,24,2024-05-11,Cleveland-Akron (Canton) OH,510
Boston Celtics,2024-01-14 00:00:00,Celtics,28.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-02-04 00:00:00,Celtics,24.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-02-18 00:00:00,Celtics,15.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-02-25 00:00:00,Celtics,25.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-03-03 00:00:00,Celtics,26.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-03-17 00:00:00,Celtics,27.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-03-24 00:00:00,Celtics,23.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-03-31 00:00:00,Celtics,17.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-04-07 00:00:00,Celtics,24.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-04-14 00:00:00,Celtics,15.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
Boston Celtics,2024-04-21 00:00:00,Celtics,38.0,24,2024-05-11,Burlington VT-Plattsburgh NY,523
