G,TEAM,Date,Start (ET),,,,Opponent,game_result,,Tm,Opp,W,L,Streak,Notes
80,Boston Celtics,"Thu, Apr 11, 2024",7:30p,,Box Score,,New York Knicks,L,,109,118,62,18,L 2,
81,Boston Celtics,"Fri, Apr 12, 2024",7:30p,,Box Score,,Charlotte Hornets,W,,131,98,63,18,W 1,
82,Boston Celtics,"Sun, Apr 14, 2024",1:00p,,Box Score,,Washington Wizards,W,,132,122,64,18,W 2,
1,New York Knicks,"Wed, Oct 25, 2023",7:00p,,Box Score,,Boston Celtics,L,,104,108,0,1,L 1,
2,New York Knicks,"Fri, Oct 27, 2023",7:30p,,Box Score,@,Atlanta Hawks,W,,126,120,1,1,W 1,
3,New York Knicks,"Sat, Oct 28, 2023",7:00p,,Box Score,@,New Orleans Pelicans,L,,87,96,1,2,L 1,
4,New York Knicks,"Tue, Oct 31, 2023",7:30p,,Box Score,@,Cleveland Cavaliers,W,,109,91,2,2,W 1,
5,New York Knicks,"Wed, Nov 1, 2023",7:30p,,Box Score,,Cleveland Cavaliers,L,,89,95,2,3,L 1,
6,New York Knicks,"Fri, Nov 3, 2023",7:30p,,Box Score,@,Milwaukee Bucks,L,,105,110,2,4,L 2,In-Season Tournament
7,New York Knicks,"Mon, Nov 6, 2023",7:30p,,Box Score,,Los Angeles Clippers,W,,111,97,3,4,W 1,
8,New York Knicks,"Wed, Nov 8, 2023",7:30p,,Box Score,,San Antonio Spurs,W,,126,105,4,4,W 2,
9,New York Knicks,"Sun, Nov 12, 2023",12:00p,,Box Score,,Charlotte Hornets,W,,129,107,5,4,W 3,
10,New York Knicks,"Mon, Nov 13, 2023",7:30p,,Box Score,@,Boston Celtics,L,,98,114,5,5,L 1,
11,New York Knicks,"Wed, Nov 15, 2023",7:30p,,Box Score,@,Atlanta Hawks,W,,116,114,6,5,W 1,
12,New York Knicks,"Fri, Nov 17, 2023",7:00p,,Box Score,@,Washington Wizards,W,,120,99,7,5,W 2,In-Season Tournament
13,New York Knicks,"Sat, Nov 18, 2023",6:00p,,Box Score,@,Charlotte Hornets,W,,122,108,8,5,W 3,
14,New York Knicks,"Mon, Nov 20, 2023",8:00p,,Box Score,@,Minnesota Timberwolves,L,,100,117,8,6,L 1,
15,New York Knicks,"Fri, Nov 24, 2023",7:30p,,Box Score,,Miami Heat,W,,100,98,9,6,W 1,In-Season Tournament
16,New York Knicks,"Sun, Nov 26, 2023",6:00p,,Box Score,,Phoenix Suns,L,,113,116,9,7,L 1,
17,New York Knicks,"Tue, Nov 28, 2023",7:30p,,Box Score,,Charlotte Hornets,W,,115,91,10,7,W 1,In-Season Tournament
18,New York Knicks,"Thu, Nov 30, 2023",7:30p,,Box Score,,Detroit Pistons,W,,118,112,11,7,W 2,
19,New York Knicks,"Fri, Dec 1, 2023",7:30p,,Box Score,@,Toronto Raptors,W,,119,106,12,7,W 3,
20,New York Knicks,"Tue, Dec 5, 2023",7:30p,,Box Score,@,Milwaukee Bucks,L,,122,146,12,8,L 1,In-Season Tournament
21,New York Knicks,"Fri, Dec 8, 2023",7:30p,,Box Score,@,Boston Celtics,L,,123,133,12,9,L 2,
22,New York Knicks,"Mon, Dec 11, 2023",7:30p,,Box Score,,Toronto Raptors,W,,136,130,13,9,W 1,
23,New York Knicks,"Wed, Dec 13, 2023",9:00p,,Box Score,@,Utah Jazz,L,,113,117,13,10,L 1,
24,New York Knicks,"Fri, Dec 15, 2023",10:00p,,Box Score,@,Phoenix Suns,W,,139,122,14,10,W 1,
25,New York Knicks,"Sat, Dec 16, 2023",10:30p,,Box Score,@,Los Angeles Clippers,L,,122,144,14,11,L 1,
26,New York Knicks,"Mon, Dec 18, 2023",10:30p,,Box Score,@,Los Angeles Lakers,W,,114,109,15,11,W 1,
27,New York Knicks,"Wed, Dec 20, 2023",7:30p,,Box Score,@,Brooklyn Nets,W,,121,102,16,11,W 2,
28,New York Knicks,"Sat, Dec 23, 2023",12:30p,,Box Score,,Milwaukee Bucks,L,,111,130,16,12,L 1,
29,New York Knicks,"Mon, Dec 25, 2023",12:00p,,Box Score,,Milwaukee Bucks,W,,129,122,17,12,W 1,
30,New York Knicks,"Wed, Dec 27, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,,120,129,17,13,L 1,
31,New York Knicks,"Fri, Dec 29, 2023",7:00p,,Box Score,@,Orlando Magic,L,,108,117,17,14,L 2,
32,New York Knicks,"Sat, Dec 30, 2023",7:00p,,Box Score,@,Indiana Pacers,L,,126,140,17,15,L 3,
33,New York Knicks,"Mon, Jan 1, 2024",3:00p,,Box Score,,Minnesota Timberwolves,W,,112,106,18,15,W 1,
34,New York Knicks,"Wed, Jan 3, 2024",8:30p,,Box Score,,Chicago Bulls,W,,116,100,19,15,W 2,
35,New York Knicks,"Fri, Jan 5, 2024",7:30p,,Box Score,@,Philadelphia 76ers,W,,128,92,20,15,W 3,
36,New York Knicks,"Sat, Jan 6, 2024",7:00p,,Box Score,@,Washington Wizards,W,,121,105,21,15,W 4,
37,New York Knicks,"Tue, Jan 9, 2024",7:30p,,Box Score,,Portland Trail Blazers,W,,112,84,22,15,W 5,
38,New York Knicks,"Thu, Jan 11, 2024",8:30p,,Box Score,@,Dallas Mavericks,L,,124,128,22,16,L 1,
39,New York Knicks,"Sat, Jan 13, 2024",8:00p,,Box Score,@,Memphis Grizzlies,W,,106,94,23,16,W 1,
40,New York Knicks,"Mon, Jan 15, 2024",3:00p,,Box Score,,Orlando Magic,L,,94,98,23,17,L 1,
41,New York Knicks,"Wed, Jan 17, 2024",7:30p,,Box Score,,Houston Rockets,W,,109,94,24,17,W 1,
42,New York Knicks,"Thu, Jan 18, 2024",7:30p,,Box Score,,Washington Wizards,W,,113,109,25,17,W 2,
43,New York Knicks,"Sat, Jan 20, 2024",7:30p,,Box Score,,Toronto Raptors,W,,126,100,26,17,W 3,
44,New York Knicks,"Tue, Jan 23, 2024",7:30p,,Box Score,@,Brooklyn Nets,W,,108,103,27,17,W 4,
45,New York Knicks,"Thu, Jan 25, 2024",7:30p,,Box Score,,Denver Nuggets,W,,122,84,28,17,W 5,
46,New York Knicks,"Sat, Jan 27, 2024",3:00p,,Box Score,,Miami Heat,W,,125,109,29,17,W 6,
47,New York Knicks,"Mon, Jan 29, 2024",7:00p,,Box Score,@,Charlotte Hornets,W,,113,92,30,17,W 7,
48,New York Knicks,"Tue, Jan 30, 2024",7:30p,,Box Score,,Utah Jazz,W,,118,103,31,17,W 8,
49,New York Knicks,"Thu, Feb 1, 2024",7:30p,,Box Score,,Indiana Pacers,W,,109,105,32,17,W 9,
50,New York Knicks,"Sat, Feb 3, 2024",8:30p,,Box Score,,Los Angeles Lakers,L,,105,113,32,18,L 1,
51,New York Knicks,"Tue, Feb 6, 2024",7:30p,,Box Score,,Memphis Grizzlies,W,,123,113,33,18,W 1,
52,New York Knicks,"Thu, Feb 8, 2024",7:30p,,Box Score,,Dallas Mavericks,L,,108,122,33,19,L 1,
53,New York Knicks,"Sat, Feb 10, 2024",7:30p,,Box Score,,Indiana Pacers,L,,111,125,33,20,L 2,
54,New York Knicks,"Mon, Feb 12, 2024",8:00p,,Box Score,@,Houston Rockets,L,,103,105,33,21,L 3,
55,New York Knicks,"Wed, Feb 14, 2024",7:00p,,Box Score,@,Orlando Magic,L,,100,118,33,22,L 4,
56,New York Knicks,"Thu, Feb 22, 2024",7:00p,,Box Score,@,Philadelphia 76ers,W,,110,96,34,22,W 1,
57,New York Knicks,"Sat, Feb 24, 2024",8:30p,,Box Score,,Boston Celtics,L,,102,116,34,23,L 1,
58,New York Knicks,"Mon, Feb 26, 2024",7:30p,,Box Score,,Detroit Pistons,W,,113,111,35,23,W 1,
59,New York Knicks,"Tue, Feb 27, 2024",7:30p,,Box Score,,New Orleans Pelicans,L,,92,115,35,24,L 1,
60,New York Knicks,"Thu, Feb 29, 2024",7:30p,,Box Score,,Golden State Warriors,L,,99,110,35,25,L 2,
61,New York Knicks,"Sun, Mar 3, 2024",7:00p,,Box Score,@,Cleveland Cavaliers,W,,107,98,36,25,W 1,
62,New York Knicks,"Tue, Mar 5, 2024",7:30p,,Box Score,,Atlanta Hawks,L,,100,116,36,26,L 1,
63,New York Knicks,"Fri, Mar 8, 2024",7:30p,,Box Score,,Orlando Magic,W,,98,74,37,26,W 1,
64,New York Knicks,"Sun, Mar 10, 2024",7:00p,,Box Score,,Philadelphia 76ers,L,,73,79,37,27,L 1,
65,New York Knicks,"Tue, Mar 12, 2024",7:30p,,Box Score,,Philadelphia 76ers,W,,106,79,38,27,W 1,
66,New York Knicks,"Thu, Mar 14, 2024",10:00p,,Box Score,@,Portland Trail Blazers,W,,105,93,39,27,W 2,
67,New York Knicks,"Sat, Mar 16, 2024",10:00p,,Box Score,@,Sacramento Kings,W,,98,91,40,27,W 3,
68,New York Knicks,"Mon, Mar 18, 2024",10:00p,,Box Score,@,Golden State Warriors,W,,119,112,41,27,W 4,
69,New York Knicks,"Thu, Mar 21, 2024",9:00p,,Box Score,@,Denver Nuggets,L,,100,113,41,28,L 1,
70,New York Knicks,"Sat, Mar 23, 2024",1:00p,,Box Score,,Brooklyn Nets,W,,105,93,42,28,W 1,
71,New York Knicks,"Mon, Mar 25, 2024",7:30p,,Box Score,,Detroit Pistons,W,,124,99,43,28,W 2,
72,New York Knicks,"Wed, Mar 27, 2024",7:30p,,Box Score,@,Toronto Raptors,W,,145,101,44,28,W 3,
73,New York Knicks,"Fri, Mar 29, 2024",8:00p,,Box Score,@,San Antonio Spurs,L,OT,126,130,44,29,L 1,
74,New York Knicks,"Sun, Mar 31, 2024",7:00p,,Box Score,,Oklahoma City Thunder,L,,112,113,44,30,L 2,
75,New York Knicks,"Tue, Apr 2, 2024",7:30p,,Box Score,@,Miami Heat,L,,99,109,44,31,L 3,
76,New York Knicks,"Thu, Apr 4, 2024",7:30p,,Box Score,,Sacramento Kings,W,,120,109,45,31,W 1,
77,New York Knicks,"Fri, Apr 5, 2024",8:00p,,Box Score,@,Chicago Bulls,L,,100,108,45,32,L 1,
78,New York Knicks,"Sun, Apr 7, 2024",7:00p,,Box Score,@,Milwaukee Bucks,W,,122,109,46,32,W 1,
79,New York Knicks,"Tue, Apr 9, 2024",8:00p,,Box Score,@,Chicago Bulls,W,,128,117,47,32,W 2,
80,New York Knicks,"Thu, Apr 11, 2024",7:30p,,Box Score,@,Boston Celtics,W,,118,109,48,32,W 3,
81,New York Knicks,"Fri, Apr 12, 2024",7:30p,,Box Score,,Brooklyn Nets,W,,111,107,49,32,W 4,
82,New York Knicks,"Sun, Apr 14, 2024",1:00p,,Box Score,,Chicago Bulls,W,OT,120,119,50,32,W 5,
1,Dallas Mavericks,"Wed, Oct 25, 2023",9:30p,,Box Score,@,San Antonio Spurs,W,,126,119,1,0,W 1,
2,Dallas Mavericks,"Fri, Oct 27, 2023",8:30p,,Box Score,,Brooklyn Nets,W,,125,120,2,0,W 2,
3,Dallas Mavericks,"Mon, Oct 30, 2023",8:00p,,Box Score,@,Memphis Grizzlies,W,,125,110,3,0,W 3,
4,Dallas Mavericks,"Wed, Nov 1, 2023",8:30p,,Box Score,,Chicago Bulls,W,,114,105,4,0,W 4,
